,popularity,id,vote_count,vote_average,title,release_date,original_language,genre_ids,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
844,19.672,9361,1926,7.4,The Last of the Mohicans,1992-09-25,en,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",225,The Last of the Mohicans,1992,R,104691,112,"Action, Adventure, Drama",76.0,7.7,147022,75.51
845,59.823,176,6114,7.4,Saw,2004-10-01,en,"['Horror', 'Mystery', 'Crime']",275,Saw,2004,R,387564,103,"Horror, Mystery",46.0,7.6,375407,56.00
846,18.629,246355,293,7.0,Saw,2003-01-01,en,"['Crime', 'Horror', 'Thriller']",275,Saw,2004,R,387564,103,"Horror, Mystery",46.0,7.6,375407,56.00
847,12.192,11661,554,7.4,Joyeux Noel,2005-11-09,fr,"['Drama', 'History', 'Romance', 'War']",717,Joyeux Noel,2005,PG-13,424205,116,"Drama, History, Music",70.0,7.7,27288,1.05
848,16.451,11589,395,7.4,Kelly's Heroes,1970-06-22,en,"['Adventure', 'Comedy', 'War']",697,Kelly's Heroes,1970,GP,65938,144,"Adventure, Comedy, War",50.0,7.6,44741,1.38
849,26.297,1669,2016,7.4,The Hunt for Red October,1990-03-02,en,"['Action', 'Adventure', 'Thriller']",154,The Hunt for Red October,1990,PG,99810,135,"Action, Adventure, Thriller",58.0,7.6,177719,122.01
850,10.054,19666,326,7.4,Lagaan: Once Upon a Time in India,2001-06-15,hi,"['Adventure', 'Romance', 'Drama']",810,Lagaan: Once Upon a Time in India,2001,PG,169102,224,"Adventure, Drama, Musical",84.0,8.1,103562,0.07
851,25.022,756,2020,7.4,Fantasia,1940-11-13,en,"['Animation', 'Family']",220,Fantasia,1940,G,32455,125,"Animation, Family, Fantasy",96.0,7.7,87515,76.41
852,10.075,260,539,7.4,The 39 Steps,1935-06-06,en,"['Mystery', 'Thriller']",991,The 39 Steps,1935,Not Rated,26029,86,"Mystery, Thriller",93.0,7.6,51094,--
853,9.191,7913,255,7.4,Rang De Basanti,2006-01-26,hi,"['Comedy', 'Drama', 'History']",664,Rang De Basanti,2006,Not Rated,405508,167,"Comedy, Drama",,8.2,110241,2.20
854,25.374,2503,5479,7.4,The Bourne Ultimatum,2007-08-03,en,"['Action', 'Drama', 'Mystery', 'Thriller']",67,The Bourne Ultimatum,2007,PG-13,440963,115,"Action, Mystery, Thriller",85.0,8.0,600279,227.47
855,50.865,312221,5078,7.4,Creed,2015-11-25,en,['Drama'],171,Creed,2015,PG-13,3076658,133,"Drama, Sport",82.0,7.6,244118,109.77
856,17.235,2252,2080,7.4,Eastern Promises,2007-09-14,en,"['Thriller', 'Crime', 'Mystery']",463,Eastern Promises,2007,R,765443,100,"Action, Crime, Drama",82.0,7.6,225485,17.11
857,12.276,11881,397,7.4,Miracle on 34th Street,1947-06-11,en,"['Comedy', 'Drama', 'Family']",649,Miracle on 34th Street,1947,Not Rated,39628,96,"Comedy, Drama, Family",88.0,7.9,39306,2.65
